Directory	NumberOfFiles
2016-01-19-screens-bbbc022/20633-ERSyto	3456
2016-01-19-screens-bbbc022/20625-Mito	3456
2016-01-19-screens-bbbc022/20585-Ph_golgi	3456
2016-01-19-screens-bbbc022/20596-Ph_golgi	3456
2016-01-19-screens-bbbc022/20591-ERSyto	3456
2016-01-19-screens-bbbc022/20592-Mito	3456
2016-01-19-screens-bbbc022/20593-Mito	3456
2016-01-19-screens-bbbc022/20607-Mito	3456
2016-01-19-screens-bbbc022/20596-Hoechst	3456
2016-01-19-screens-bbbc022/20646-ERSyto	3456
2016-01-19-screens-bbbc022/20608-Mito	3456
2016-01-19-screens-bbbc022/20630-ERSyto	3456
2016-01-19-screens-bbbc022/20589-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20625-Hoechst	3456
2016-01-19-screens-bbbc022/20590-Ph_golgi	3456
2016-01-19-screens-bbbc022/20640-Mito	3456
2016-01-19-screens-bbbc022/20586-Ph_golgi	3456
2016-01-19-screens-bbbc022/20639-Hoechst	3456
2016-01-19-screens-bbbc022/20607-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20626-Ph_golgi	3456
2016-01-19-screens-bbbc022/20592-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20585-ERSyto	3456
2016-01-19-screens-bbbc022/20626-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20633-Ph_golgi	3456
2016-01-19-screens-bbbc022/20586-Hoechst	3456
2016-01-19-screens-bbbc022/20633-Hoechst	3456
2016-01-19-screens-bbbc022/20589-Ph_golgi	3456
2016-01-19-screens-bbbc022/20589-Hoechst	3456
2016-01-19-screens-bbbc022/20594-Ph_golgi	3456
2016-01-19-screens-bbbc022/20639-ERSyto	3456
2016-01-19-screens-bbbc022/20591-Hoechst	3456
2016-01-19-screens-bbbc022/20625-Ph_golgi	3456
2016-01-19-screens-bbbc022/20590-ERSytoBleed	3456
2016-01-19-screens-bbbc022/20593-Ph_golgi	3456
2016-01-19-screens-bbbc022/20592-ERSyto	3456
2016-01-19-screens-bbbc022/20595-Hoechst	3456
2016-01-19-screens-bbbc022/20639-ERSytoBleed	3456
